caseID,verbatim
5, vice president 
12, VICE PRESIDENT 
15, I DON'T LIKE HIM// SKIP IT// 
23, vice president 
36, don't know 
37, vice president 
42, democrat 
44, vice president 
48, vice president 
50, vice president 
52, vice president 
55, vice president 
62, vice bpresident 
79, senator 
81, vice president 
83," forgot what he's done, foreign affairs  "
89, FOREIGN POLICY 
98, Vice President 
112, republican 
121, vice prsident 
127, vice president 
153, vice president 
183," vice president,(darth vader?) "
184, i don't know//isn't he like vice president or something? 
186," i think he , omy goodness, vice president i think, i'm embarrassed "
206, d/k//no 
207, vice pres 
219, i don't know//representative 
222, VICE PRESIDENT// 
229, d/k// 
234, vice president 
242, vice President 
254, senater 
260, NOT SURE NOT POSITIVE HEARD OF HIM 
274, vice president 
282, vice president 
291, vice president 
299, vice president 
300, secretary of state 
309, it's not vice president it's close to that 
315, vice president 
325, vice president of the u.s. 
337, vice president 
357, vp 
363, vp 
368, vp 
370, vp 
373, vice president 
376, vice president 
378, vice president 
381, cabnet 
387, no se 
394, vice president 
396, councelman 
398, vp 
411, vp 
430," dk//didn't he shoot somebody,  he's in the white house "
435, vice president 
439, dk//maybe a senaor 
446, secretary of defense? 
447, vice president 
450, VP 
453, vice president 
461, vice-president 
467, vice-president 
470, //i don't know. 
471, congressman 
475, vice president 
476, vice president 
477, //Congress 
489, don't know 
490, vice president 
492, vice president 
499,  DOES NOT RECOGNIZE EVEN AFTER PROBING 
504, R does not know - even after probing  
505, EX VICEPRESIDENT 
521, VICE PRESIDENT 
525, VICE PRESIDENT 
526, vice pres 
533, vice president 
534, vice president 
539, vice pres 
546, i realy don't know any of there job 
547, vice president 
552, vice president 
553, vice president 
564, vice pres 
568,  leam up vice pres  
569, vice president 
573, vice pres  
579, vice pres 
587, vice president 
589, vice president 
599, vice president 
603, vice president 
616, vice president 
618, dont rem 
623, don tknow 
626, VICE PRESIDENT 
639, VICE PRESIDENT 
644, vp 
646, vp 
650, vice president 
652, don't remember// didn't he run for president too/na 
654, representative 
656, vp 
657, don't remember// haven't heard i mentioned in a while// no// na 
671, dont know 
686, vice president 
696, Vice President going out 
697, Vice President 
702, VICE PRESIDENT 
703, Vice President 
705, vice president 
709, government 
710, vice president 
715, vice-president 
720, congressman 
721, vice president 
722, don't know 
724, vice president 
725, vice-president 
731, vice president 
732, vice president 
744, vice president// 
760, vice president 
761, oh that dude // he is the vice pres 
763, i don't know//i'm trying to think // vice pres 
770, secretary of State 
778, FORGOT//i CAN'T THINK OF THAT 
781, vice president 
792, SUPPOSED TO BE VICE PRESIDENT BUT HE'S REALLY THE PRESIDENT 
795, Vice President.// 
799," Don't know./I have no idea, but have heard his name a lot.// "
802, Vice President.// 
808, vice presidwnt/ 
813, vice president 
818, Vice President.// 
822, Vice President of the United States.// 
825, house of representatives 
